step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,tau_deg,roll_deg,pitch_deg,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
7,A0100,pursuit_chase_v1,HABFM,3332.379952,17693.684675,14706.315325,32316.193166,-17693.904861,14998.831520,390.090051,21735.447752,965.588513,170.825627,-135.718052,0.505652,False,False,False,False,True,True,True,2-circle,-1.000000,2.475132,-13962.403897,12.474096,1.255513,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.042854
7,B0100,defensive,HABFM,3332.379952,17693.684675,14706.315325,32316.193166,-17693.904861,14998.831520,390.090051,21735.447752,965.588513,170.825627,-135.718052,0.505652,False,False,False,False,True,True,True,2-circle,-1.000000,2.475132,-13962.403897,12.474096,1.255513,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.049875
8,A0100,pursuit_chase_v1,HABFM,3358.817279,18176.448579,14223.551421,32180.087864,-18177.175296,14997.548897,391.345887,21777.609957,843.244109,268.299314,-176.982094,0.884921,False,False,False,False,True,True,True,2-circle,-1.000000,6.068765,-12398.927045,21.222537,0.666830,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.039241
8,B0100,defensive,HABFM,3358.817279,18176.448579,14223.551421,32180.087864,-18177.175296,14997.548897,391.345887,21777.609957,843.244109,268.299314,-176.982094,0.884921,False,False,False,False,True,True,True,2-circle,-1.000000,6.068765,-12398.927045,21.222537,0.666830,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.047884
9,A0100,pursuit_chase_v1,HABFM,3358.817279,18176.448579,14223.551421,32180.087864,-18177.175296,14997.548897,391.345887,21777.609957,843.244109,268.299314,-176.982094,0.884921,False,False,False,False,True,True,True,2-circle,-1.000000,6.068765,-12398.927045,21.222537,0.666830,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.035962
9,B0100,defensive,HABFM,3358.817279,18176.448579,14223.551421,32180.087864,-18177.175296,14997.548897,391.345887,21777.609957,843.244109,268.299314,-176.982094,0.884921,False,False,False,False,True,True,True,2-circle,-1.000000,6.068765,-12398.927045,21.222537,0.666830,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.045802
10,A0100,pursuit_chase_v1,HABFM,3391.949119,18643.113657,13756.886343,32024.224101,-18644.918881,14995.732864,392.661440,21821.454438,876.889615,375.577307,-214.848516,1.343570,False,False,False,False,True,True,True,2-circle,-1.000000,11.695795,-10728.093499,30.602811,-0.974518,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.032908
10,B0100,defensive,HABFM,3391.949119,18643.113657,13756.886343,32024.224101,-18644.918881,14995.732864,392.661440,21821.454438,876.889615,375.577307,-214.848516,1.343570,False,False,False,False,True,True,True,2-circle,-1.000000,11.695795,-10728.093499,30.602811,-0.974518,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.043770
11,A0100,pursuit_chase_v1,HABFM,3391.949119,18643.113657,13756.886343,32024.224101,-18644.918881,14995.732864,392.661440,21821.454438,876.889615,375.577307,-214.848516,1.343570,False,False,False,False,True,True,True,2-circle,-1.000000,11.695795,-10728.093499,30.602811,-0.974518,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.032051
11,B0100,defensive,HABFM,3391.949119,18643.113657,13756.886343,32024.224101,-18644.918881,14995.732864,392.661440,21821.454438,876.889615,375.577307,-214.848516,1.343570,False,False,False,False,True,True,True,2-circle,-1.000000,11.695795,-10728.093499,30.602811,-0.974518,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.041951
12,A0100,pursuit_chase_v1,HABFM,3431.202419,19089.176283,13310.823717,31886.720704,-19092.904599,14993.318298,393.302347,21841.340092,397.713079,451.215073,-249.480662,1.923109,False,False,False,False,True,True,True,2-circle,-1.000000,19.331863,-9007.665526,40.293737,-2.429831,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.032088
12,B0100,defensive,HABFM,3431.202419,19089.176283,13310.823717,31886.720704,-19092.904599,14993.318298,393.302347,21841.340092,397.713079,451.215073,-249.480662,1.923109,False,False,False,False,True,True,True,2-circle,-1.000000,19.331863,-9007.665526,40.293737,-2.429831,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.040577
13,A0100,pursuit_chase_v1,HABFM,3431.202419,19089.176283,13310.823717,31886.720704,-19092.904599,14993.318298,393.302347,21841.340092,397.713079,451.215073,-249.480662,1.923109,False,False,False,False,True,True,True,2-circle,-1.000000,19.331863,-9007.665526,40.293737,-2.429831,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.032933
13,B0100,defensive,HABFM,3431.202419,19089.176283,13310.823717,31886.720704,-19092.904599,14993.318298,393.302347,21841.340092,397.713079,451.215073,-249.480662,1.923109,False,False,False,False,True,True,True,2-circle,-1.000000,19.331863,-9007.665526,40.293737,-2.429831,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.039864
14,A0100,pursuit_chase_v1,HABFM,3476.232073,19525.444874,12874.555126,31788.406526,-19531.822235,14990.334078,392.893434,21824.123641,-344.329023,460.816833,-283.478126,2.707631,False,False,False,False,True,True,True,2-circle,-1.000000,28.604135,-7286.361729,50.018382,-2.786727,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.033996
14,B0100,defensive,HABFM,3476.232073,19525.444874,12874.555126,31788.406526,-19531.822235,14990.334078,392.893434,21824.123641,-344.329023,460.816833,-283.478126,2.707631,False,False,False,False,True,True,True,2-circle,-1.000000,28.604135,-7286.361729,50.018382,-2.786727,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.039837
15,A0100,pursuit_chase_v1,HABFM,3476.232073,19525.444874,12874.555126,31788.406526,-19531.822235,14990.334078,392.893434,21824.123641,-344.329023,460.816833,-283.478126,2.707631,False,False,False,False,True,True,True,2-circle,-1.000000,28.604135,-7286.361729,50.018382,-2.786727,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.035257
15,B0100,defensive,HABFM,3476.232073,19525.444874,12874.555126,31788.406526,-19531.822235,14990.334078,392.893434,21824.123641,-344.329023,460.816833,-283.478126,2.707631,False,False,False,False,True,True,True,2-circle,-1.000000,28.604135,-7286.361729,50.018382,-2.786727,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.040815
16,A0100,pursuit_chase_v1,HABFM,3527.174779,19981.981970,12418.018030,31715.807410,-19991.103049,14986.963787,392.388663,21803.205136,-418.370107,438.935426,-319.552502,3.827288,False,False,False,False,True,True,True,2-circle,-1.000000,38.911561,-5649.930049,59.290066,-1.797806,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.036428
16,B0100,defensive,HABFM,3527.174779,19981.981970,12418.018030,31715.807410,-19991.103049,14986.963787,392.388663,21803.205136,-418.370107,438.935426,-319.552502,3.827288,False,False,False,False,True,True,True,2-circle,-1.000000,38.911561,-5649.930049,59.290066,-1.797806,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.042620
17,A0100,pursuit_chase_v1,HABFM,3527.174779,19981.981970,12418.018030,31715.807410,-19991.103049,14986.963787,392.388663,21803.205136,-418.370107,438.935426,-319.552502,3.827288,False,False,False,False,True,True,True,2-circle,-1.000000,38.911561,-5649.930049,59.290066,-1.797806,100.000000,100.000000,0.000000,0.000000,2,4,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.037193
17,B0100,defensive,HABFM,3527.174779,19981.981970,12418.018030,31715.807410,-19991.103049,14986.963787,392.388663,21803.205136,-418.370107,438.935426,-319.552502,3.827288,False,False,False,False,True,True,True,2-circle,-1.000000,38.911561,-5649.930049,59.290066,-1.797806,100.000000,100.000000,0.000000,0.000000,0,7,3,0.0000,0.0000,0.0000,0.5000,"DefensiveManeuver",-0.044611
