step,agent_id,tree_name,bfm_situation,distance_ft,ata_deg,aa_deg,hca_deg,relative_bearing_deg,ego_altitude_ft,ego_vc_kts,specific_energy_ft,ps_fts,energy_diff_ft,closure_rate_kts,turn_rate_degs,in_wez,enm_in_wez,in_39_line,overshoot_risk,energy_advantage,alt_advantage,spd_advantage,tc_type,side_flag,alt_gap_ft,tau_deg,roll_deg,pitch_deg,ego_health,enm_health,ego_damage_dealt,enm_damage_dealt,action_alt,action_hdg,action_vel,aileron,elevator,rudder,throttle,active_node,reward
0,A0100,pursuit_chase_v1,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.063106
0,B0100,aggressive,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.063106
1,A0100,pursuit_chase_v1,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.060662
1,B0100,aggressive,HABFM,3297.631970,16200.000000,16200.000000,32400.000000,-16200.000000,15000.000480,386.782661,21622.867763,0.000000,-0.000000,-0.000000,0.000000,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000000,-16200.000000,-0.000000,-0.000000,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.060668
2,A0100,pursuit_chase_v1,HABFM,3301.528699,16701.205031,15698.794969,32382.919309,-16701.205207,15000.002150,385.868566,21591.602384,-625.307572,-63.085608,-46.019865,0.039475,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000185,-16376.259524,-0.979223,0.053528,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.058339
2,B0100,aggressive,HABFM,3301.528699,16701.205031,15698.794969,32382.919309,-16701.205207,15000.002150,385.868566,21591.602384,-625.307572,-63.085608,-46.019865,0.039475,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000185,-16376.259524,-0.979223,0.053528,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.058349
3,A0100,pursuit_chase_v1,HABFM,3301.528699,16701.205031,15698.794969,32382.919309,-16701.205207,15000.002150,385.868566,21591.602384,-625.307572,-63.085608,-46.019865,0.039475,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000185,-16376.259524,-0.979223,0.053528,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.055890
3,B0100,aggressive,HABFM,3301.528699,16701.205031,15698.794969,32382.919309,-16701.205207,15000.002150,385.868566,21591.602384,-625.307572,-63.085608,-46.019865,0.039475,False,False,False,False,False,False,False,2-circle,-1.000000,-0.000185,-16376.259524,-0.979223,0.053528,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.055910
4,A0100,pursuit_chase_v1,HABFM,3313.087836,17190.064268,15209.935732,32254.972407,-17190.089244,15000.273886,384.472100,21544.250190,-947.043886,-131.377515,-90.641954,0.215100,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002883,-17154.497061,-5.302812,0.954981,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.053013
4,B0100,aggressive,HABFM,3313.087836,17190.064268,15209.935732,32254.972407,-17190.089244,15000.273886,384.472100,21544.250190,-947.043886,-131.377515,-90.641954,0.215100,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002883,-17154.497061,-5.302812,0.954981,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.053035
5,A0100,pursuit_chase_v1,HABFM,3313.087836,17190.064268,15209.935732,32254.972407,-17190.089244,15000.273886,384.472100,21544.250190,-947.043886,-131.377515,-90.641954,0.215100,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002883,-17154.497061,-5.302812,0.954981,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.049653
5,B0100,aggressive,HABFM,3313.087836,17190.064268,15209.935732,32254.972407,-17190.089244,15000.273886,384.472100,21544.250190,-947.043886,-131.377515,-90.641954,0.215100,False,False,False,False,False,False,False,2-circle,-1.000000,-0.002883,-17154.497061,-5.302812,0.954981,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.049673
6,A0100,pursuit_chase_v1,HABFM,3331.965313,17652.733155,14747.266845,31983.622878,-17653.035491,15001.314812,382.682706,21484.519470,-1194.614392,-193.267773,-132.383639,0.507313,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008192,-18413.044012,-12.294831,3.471365,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.045959
6,B0100,aggressive,HABFM,3331.965313,17652.733155,14747.266845,31983.622878,-17653.035491,15001.314812,382.682706,21484.519470,-1194.614392,-193.267773,-132.383639,0.507313,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008192,-18413.044012,-12.294831,3.471365,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.045976
7,A0100,pursuit_chase_v1,HABFM,3331.965313,17652.733155,14747.266845,31983.622878,-17653.035491,15001.314812,382.682706,21484.519470,-1194.614392,-193.267773,-132.383639,0.507313,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008192,-18413.044012,-12.294831,3.471365,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.042260
7,B0100,aggressive,HABFM,3331.965313,17652.733155,14747.266845,31983.622878,-17653.035491,15001.314812,382.682706,21484.519470,-1194.614392,-193.267773,-132.383639,0.507313,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008192,-18413.044012,-12.294831,3.471365,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.042273
8,A0100,pursuit_chase_v1,HABFM,3357.507206,18069.174815,14330.825185,31608.023342,-18070.585079,15003.625902,380.750396,21421.523545,-1259.918496,-253.960757,-169.418054,0.901158,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008345,-19992.748498,-21.070970,6.793916,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.038564
8,B0100,aggressive,HABFM,3357.507206,18069.174815,14330.825185,31608.023342,-18070.585079,15003.625902,380.750396,21421.523545,-1259.918496,-253.960757,-169.418054,0.901158,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008345,-19992.748498,-21.070970,6.793916,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.038543
9,A0100,pursuit_chase_v1,HABFM,3357.507206,18069.174815,14330.825185,31608.023342,-18070.585079,15003.625902,380.750396,21421.523545,-1259.918496,-253.960757,-169.418054,0.901158,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008345,-19992.748498,-21.070970,6.793916,100.000000,100.000000,0.000000,0.000000,2,2,4,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.035206
9,B0100,aggressive,HABFM,3357.507206,18069.174815,14330.825185,31608.023342,-18070.585079,15003.625902,380.750396,21421.523545,-1259.918496,-253.960757,-169.418054,0.901158,False,False,False,False,False,False,False,2-circle,-1.000000,-0.008345,-19992.748498,-21.070970,6.793916,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.035193
10,A0100,pursuit_chase_v1,HABFM,3388.848508,18431.437916,13968.562084,31212.822590,-18435.239837,15007.422826,378.676650,21355.601066,-1318.449580,-315.863571,-201.086940,1.414908,False,False,False,False,False,True,False,2-circle,-1.000000,0.005582,-21787.348573,-31.040728,9.585531,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.031730
10,B0100,aggressive,HABFM,3388.848508,18431.437916,13968.562084,31212.822590,-18435.239837,15007.422826,378.676650,21355.601066,-1318.449580,-315.863571,-201.086940,1.414908,False,False,False,False,False,True,False,2-circle,-1.000000,0.005582,-21787.348573,-31.040728,9.585531,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.031947
11,A0100,pursuit_chase_v1,HABFM,3388.848508,18431.437916,13968.562084,31212.822590,-18435.239837,15007.422826,378.676650,21355.601066,-1318.449580,-315.863571,-201.086940,1.414908,False,False,False,False,False,True,False,2-circle,-1.000000,0.005582,-21787.348573,-31.040728,9.585531,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.030407
11,B0100,aggressive,HABFM,3388.848508,18431.437916,13968.562084,31212.822590,-18435.239837,15007.422826,378.676650,21355.601066,-1318.449580,-315.863571,-201.086940,1.414908,False,False,False,False,False,True,False,2-circle,-1.000000,0.005582,-21787.348573,-31.040728,9.585531,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.028918
12,A0100,pursuit_chase_v1,HABFM,3425.102899,18740.837527,13659.162473,30858.167592,-18748.267146,15012.651995,376.541685,21289.450412,-1323.013099,-380.809605,-227.918361,2.100724,False,False,False,False,False,True,False,2-circle,-1.000000,0.011889,-23693.561512,-41.630690,11.430874,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.029345
12,B0100,aggressive,HABFM,3425.102899,18740.837527,13659.162473,30858.167592,-18748.267146,15012.651995,376.541685,21289.450412,-1323.013099,-380.809605,-227.918361,2.100724,False,False,False,False,False,True,False,2-circle,-1.000000,0.011889,-23693.561512,-41.630690,11.430874,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.026138
13,A0100,pursuit_chase_v1,HABFM,3425.102899,18740.837527,13659.162473,30858.167592,-18748.267146,15012.651995,376.541685,21289.450412,-1323.013099,-380.809605,-227.918361,2.100724,False,False,False,False,False,True,False,2-circle,-1.000000,0.011889,-23693.561512,-41.630690,11.430874,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.028488
13,B0100,aggressive,HABFM,3425.102899,18740.837527,13659.162473,30858.167592,-18748.267146,15012.651995,376.541685,21289.450412,-1323.013099,-380.809605,-227.918361,2.100724,False,False,False,False,False,True,False,2-circle,-1.000000,0.011889,-23693.561512,-41.630690,11.430874,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.023621
14,A0100,pursuit_chase_v1,HABFM,3465.618360,19001.061196,13398.938804,30554.113947,-19012.938914,15019.134008,374.347058,21222.978570,-1329.436828,-458.355002,-251.732462,3.094124,False,False,False,False,False,False,False,2-circle,-1.000000,-0.023637,-25645.004973,-52.472662,12.720200,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.027912
14,B0100,aggressive,HABFM,3465.618360,19001.061196,13398.938804,30554.113947,-19012.938914,15019.134008,374.347058,21222.978570,-1329.436828,-458.355002,-251.732462,3.094124,False,False,False,False,False,False,False,2-circle,-1.000000,-0.023637,-25645.004973,-52.472662,12.720200,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.021378
15,A0100,pursuit_chase_v1,HABFM,3465.618360,19001.061196,13398.938804,30554.113947,-19012.938914,15019.134008,374.347058,21222.978570,-1329.436828,-458.355002,-251.732462,3.094124,False,False,False,False,False,False,False,2-circle,-1.000000,-0.023637,-25645.004973,-52.472662,12.720200,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.027561
15,B0100,aggressive,HABFM,3465.618360,19001.061196,13398.938804,30554.113947,-19012.938914,15019.134008,374.347058,21222.978570,-1329.436828,-458.355002,-251.732462,3.094124,False,False,False,False,False,False,False,2-circle,-1.000000,-0.023637,-25645.004973,-52.472662,12.720200,100.000000,100.000000,0.000000,0.000000,2,0,0,0.0000,0.0000,0.0000,0.5000,"Pursue",-0.019325
16,A0100,pursuit_chase_v1,HABFM,3509.955436,19219.033668,13180.966332,30297.308547,-19235.444569,15026.620605,372.130386,21157.211342,-1315.344555,-547.253002,-273.322646,4.774189,False,False,False,False,False,False,False,2-circle,-1.000000,-0.005394,-27613.587445,-63.408914,13.553432,100.000000,100.000000,0.000000,0.000000,4,4,2,0.0000,0.0000,0.0000,0.5000,"PursuitChaseOptimal",-0.027262
